Date,Weekday numeric,,Open,High,Low,Close,Adj Close,Volume,,,,,
9/24/2020,5,,321.220001,326.799988,319.799988,323.5,311.625305,76681300,,,,,
9/25/2020,6,,322.579987,329.579987,321.640015,328.730011,316.663269,71069400,,,,,
9/28/2020,2,,333.220001,334.959991,332.149994,334.190002,321.922852,64584600,,,,,
9/29/2020,3,,333.970001,334.769989,331.619995,332.369995,320.169647,51304000,,,,,
9/30/2020,4,,333.089996,338.290009,332.880005,334.890015,322.597168,104081100,,,,,
10/1/2020,5,,337.690002,338.73999,335.01001,337.040009,324.668213,88698700,,,,,
10/2/2020,6,,331.700012,337.01001,331.190002,333.839996,321.585724,89431100,,,,,
10/5/2020,2,,336.059998,339.959991,336.01001,339.76001,327.288361,45713100,,,,,
10/6/2020,3,,339.910004,342.170013,334.380005,334.929993,322.635681,90128900,,,,,
10/7/2020,4,,338.119995,341.630005,338.089996,340.76001,328.251709,56999600,,,,,
10/8/2020,5,,342.850006,343.850006,341.859985,343.779999,331.160828,45242500,,,,,
10/9/2020,6,,345.559998,347.350006,344.890015,346.850006,334.118164,59528600,,,,,
10/12/2020,2,,349.589996,354.019989,349.059998,352.429993,339.493378,80388500,,,,,
10/13/2020,3,,352.279999,352.470001,349.089996,350.130005,337.277771,73255500,,,,,
10/14/2020,4,,350.75,351.929993,347.140015,347.929993,335.158478,57727900,,,,,
10/15/2020,5,,343.709991,348.019989,343.130005,347.5,334.744293,60357700,,,,,
10/16/2020,6,,348.959991,350.75,347.100006,347.290009,334.542023,89501900,,,,,
10/19/2020,2,,348.649994,349.329987,341.040009,342.01001,329.455841,68425600,,,,,
10/20/2020,3,,343.459991,346.880005,342.640015,343.380005,330.775513,60051900,,,,,
10/21/2020,4,,343.329987,345.670013,342.399994,342.730011,330.149353,63575000,,,,,
10/22/2020,5,,342.959991,345.23999,340.649994,344.609985,331.960388,55399300,,,,,
10/23/2020,6,,345.929993,345.98999,343.130005,345.779999,333.087463,49143900,,,,,
10/26/2020,2,,342.130005,342.980011,335.619995,339.390015,326.932037,91473000,,,,,
10/27/2020,3,,339.76001,340.119995,337.98999,338.220001,325.804962,65994100,,,,,
10/28/2020,4,,332.100006,338.25,326.130005,326.660004,314.669281,127094300,,,,,
10/29/2020,5,,326.910004,333.399994,325.089996,329.980011,317.867371,90597700,,,,,
